OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SL-16 R/B,1985-097B,2025-12-06T10:39:24.401088,14.16581699,.00062848,71.0029,336.8580,20.7179,141.0610,0,U,16182,999,7402,.9087296E-5,-.3E-6,0
SL-14 R/B,1986-006B,2025-12-06T07:20:19.728096,14.86659209,.00756665,82.5266,347.6058,221.3954,138.1516,0,U,16496,999,13533,.13668991E-3,.1304E-4,0
COSMOS 1743,1986-034A,2025-12-06T14:14:27.567168,15.51686376,.00047316,82.5342,170.9734,280.4874,79.5844,0,U,16719,999,16578,.68961283E-3,.41206E-3,0
SL-14 R/B,1986-046B,2025-12-06T14:02:04.464960,14.85474728,.00232684,82.4812,168.1270,172.2046,187.9537,0,U,16792,999,11258,.10541319E-3,.937E-5,0
SL-14 R/B,1986-055B,2025-12-06T15:35:26.962368,14.85522180,.00175119,82.5211,214.0950,281.3466,134.8283,0,U,16882,999,10555,.10345616E-3,.919E-5,0
AJISAI (EGS),1986-061A,2025-12-06T15:43:27.520032,12.44514208,.00112805,50.0114,19.4267,50.6145,88.0826,0,U,16908,999,45641,.15533887E-3,-.75E-6,0
COSMOS 1812,1987-003A,2025-12-06T15:07:13.040256,15.74006387,.00071504,82.4875,298.6220,95.5931,264.6149,0,U,17295,999,12969,.90960783E-3,.131074E-2,0
SL-14 R/B,1987-024B,2025-12-06T15:38:47.073408,14.86014785,.00175701,82.5280,180.1734,204.8842,155.1529,0,U,17567,999,7431,.98855045E-4,.89E-5,0
COSMOS 1833,1987-027A,2025-12-06T15:06:49.726944,14.13019393,.00222716,70.9133,161.6219,340.2958,19.7300,0,U,17589,999,99716,.67298581E-4,.78E-6,0
SL-16 R/B,1987-027B,2025-12-06T15:52:37.562304,14.17152440,.00075117,71.0025,112.5255,266.0564,93.9701,0,U,17590,999,216,-.29957077E-4,-.108E-5,0
SL-14 R/B,1987-038B,2025-12-06T14:22:43.853952,14.85253094,.00207804,82.5022,24.4846,110.9246,249.4196,0,U,17912,999,6541,.99079988E-4,.877E-5,0
COSMOS 1844,1987-041A,2025-12-06T09:49:57.825120,14.14527099,.00302548,70.8986,230.9220,167.3032,192.8859,0,U,17973,999,99039,-.34261264E-4,-.114E-5,0
SL-14 R/B,1987-055B,2025-12-06T06:07:36.471072,14.85511000,.00198244,82.5000,77.0991,325.9234,34.0707,0,U,18153,999,5606,.11377388E-3,.1009E-4,0
COSMOS 1867,1987-060A,2025-12-06T09:14:33.563616,14.31484695,.00136444,65.0098,207.9982,270.4975,89.4546,0,U,18187,999,658,.53836681E-4,.43E-6,0
SL-14 R/B,1988-001B,2025-12-06T13:56:59.116992,14.85413874,.00179105,82.5127,282.9398,181.2747,178.8427,0,U,18749,999,2820,.11289416E-3,.999E-5,0
COSMOS 1933,1988-020A,2025-12-06T10:06:03.155904,15.17032036,.0005362,82.5129,343.1223,144.6677,215.4913,0,U,18958,999,3608,.40216914E-3,.7985E-4,0
SL-3 R/B,1988-032B,2025-12-06T14:27:05.830848,15.18648682,.00260261,97.5074,319.3653,194.3985,165.6511,0,U,19046,999,3797,.39834705E-3,.8257E-4,0
SL-16 R/B,1988-039B,2025-12-06T13:06:29.725632,14.19595065,.00198912,71.0152,265.4936,126.7501,233.5454,0,U,19120,999,94516,.14536267E-3,.26E-5,0
COSMOS 1953,1988-050A,2025-12-06T11:29:07.260000,15.26830353,.00138073,82.5099,251.8625,90.4282,269.8538,0,U,19210,999,2355,.37922916E-3,.10057E-3,0
SL-8 R/B,1988-053B,2025-12-06T13:58:38.057952,14.38853320,.0019121,74.0476,284.0676,130.4874,42.3308,0,U,19257,999,96320,.17769115E-3,.522E-5,0
COSMOS 1975,1988-093A,2025-12-06T14:50:53.557152,15.26341666,.0012471,82.5203,210.9555,131.5533,228.6777,0,U,19573,999,520,.47860914E-3,.12495E-3,0
SL-14 R/B,1988-093B,2025-12-06T08:50:21.245280,14.85538696,.0020469,82.5299,129.6463,351.1017,27.8275,0,U,19574,999,98718,.11579301E-3,.1028E-4,0
SL-16 R/B,1988-102B,2025-12-06T00:44:02.702112,14.16137046,.00132755,71.0002,348.5606,163.2235,196.9330,0,U,19650,999,91363,-.5634707E-4,-.159E-5,0
